seed=11
gen=0	fitness=-0.063995684620	chromosome=10101010110001011011100000100101	decoded=[3.341573, 4.386511]
gen=1	fitness=-0.099363201613	chromosome=10110101100001111010000010010100	decoded=[4.182040, 2.545357]
gen=2	fitness=-0.099363201613	chromosome=10110101100001111010000010010100	decoded=[4.182040, 2.545357]
gen=3	fitness=-0.099363201613	chromosome=10110101100001111010000010010100	decoded=[4.182040, 2.545357]
gen=4	fitness=-0.099363201613	chromosome=10110101100001111010000010010100	decoded=[4.182040, 2.545357]
gen=5	fitness=-0.441184113674	chromosome=10100010000010011010000100100111	decoded=[2.659190, 2.590219]
gen=6	fitness=-0.980798175892	chromosome=10100110110001001010100000001001	decoded=[3.028763, 3.127947]
gen=7	fitness=-0.980798175892	chromosome=10100110110001001010100000001001	decoded=[3.028763, 3.127947]
gen=8	fitness=-0.980798175892	chromosome=10100110110001001010100000001001	decoded=[3.028763, 3.127947]
gen=9	fitness=-0.980798175892	chromosome=10100110110001001010100000001001	decoded=[3.028763, 3.127947]
gen=10	fitness=-0.996141408540	chromosome=10101000110111001010100000111010	decoded=[3.192340, 3.142901]
gen=11	fitness=-0.996141408540	chromosome=10101000110111001010100000111010	decoded=[3.192340, 3.142901]
gen=12	fitness=-0.996141408540	chromosome=10101000110111001010100000111010	decoded=[3.192340, 3.142901]
gen=13	fitness=-0.996141408540	chromosome=10101000110111001010100000111010	decoded=[3.192340, 3.142901]
gen=14	fitness=-0.996141408540	chromosome=10101000110111001010100000111010	decoded=[3.192340, 3.142901]
gen=15	fitness=-0.996141408540	chromosome=10101000110111001010100000111010	decoded=[3.192340, 3.142901]
gen=16	fitness=-0.996141408540	chromosome=10101000110111001010100000111010	decoded=[3.192340, 3.142901]
gen=17	fitness=-0.996141408540	chromosome=10101000110111001010100000111010	decoded=[3.192340, 3.142901]
gen=18	fitness=-0.996141408540	chromosome=10101000110111001010100000111010	decoded=[3.192340, 3.142901]
gen=19	fitness=-0.996141408540	chromosome=10101000110111001010100000111010	decoded=[3.192340, 3.142901]
gen=20	fitness=-0.996141408540	chromosome=10101000110111001010100000111010	decoded=[3.192340, 3.142901]
gen=21	fitness=-0.996141408540	chromosome=10101000110111001010100000111010	decoded=[3.192340, 3.142901]
gen=22	fitness=-0.996141408540	chromosome=10101000110111001010100000111010	decoded=[3.192340, 3.142901]
gen=23	fitness=-0.996141408540	chromosome=10101000110111001010100000111010	decoded=[3.192340, 3.142901]
gen=24	fitness=-0.996326207486	chromosome=10101000110110001010100000111000	decoded=[3.191119, 3.142290]
gen=25	fitness=-0.996326207486	chromosome=10101000110110001010100000111000	decoded=[3.191119, 3.142290]
gen=26	fitness=-0.996326207486	chromosome=10101000110110001010100000111000	decoded=[3.191119, 3.142290]
gen=27	fitness=-0.996326207486	chromosome=10101000110110001010100000111000	decoded=[3.191119, 3.142290]
gen=28	fitness=-0.996326207486	chromosome=10101000110110001010100000111000	decoded=[3.191119, 3.142290]
gen=29	fitness=-0.996326207486	chromosome=10101000110110001010100000111000	decoded=[3.191119, 3.142290]
gen=30	fitness=-0.996326207486	chromosome=10101000110110001010100000111000	decoded=[3.191119, 3.142290]
gen=31	fitness=-0.996326207486	chromosome=10101000110110001010100000111000	decoded=[3.191119, 3.142290]
gen=32	fitness=-0.996326207486	chromosome=10101000110110001010100000111000	decoded=[3.191119, 3.142290]
gen=33	fitness=-0.996326207486	chromosome=10101000110110001010100000111000	decoded=[3.191119, 3.142290]
gen=34	fitness=-0.996326207486	chromosome=10101000110110001010100000111000	decoded=[3.191119, 3.142290]
gen=35	fitness=-0.996326207486	chromosome=10101000110110001010100000111000	decoded=[3.191119, 3.142290]
gen=36	fitness=-0.997906631499	chromosome=10101000101100001010100000101111	decoded=[3.178912, 3.139544]
gen=37	fitness=-0.997906631499	chromosome=10101000101100001010100000101111	decoded=[3.178912, 3.139544]
gen=38	fitness=-0.997906631499	chromosome=10101000101100001010100000101111	decoded=[3.178912, 3.139544]
gen=39	fitness=-0.997906631499	chromosome=10101000101100001010100000101111	decoded=[3.178912, 3.139544]
gen=40	fitness=-0.999859091500	chromosome=10101000000101101010100000110100	decoded=[3.131914, 3.141070]
