seed=2
gen=0	fitness=-0.000023605256	chromosome=10001111111101111011110011000101	decoded=[1.247425, 4.747845]
gen=1	fitness=-0.517933247495	chromosome=10011111111111011010100111001100	decoded=[2.499275, 3.265583]
gen=2	fitness=-0.860533530994	chromosome=10101001001011011010110000100010	decoded=[3.217060, 3.448081]
gen=3	fitness=-0.860533530994	chromosome=10101001001011011010110000100010	decoded=[3.217060, 3.448081]
gen=4	fitness=-0.860533530994	chromosome=10101001001011011010110000100010	decoded=[3.217060, 3.448081]
gen=5	fitness=-0.860533530994	chromosome=10101001001011011010110000100010	decoded=[3.217060, 3.448081]
gen=6	fitness=-0.860533530994	chromosome=10101001001011011010110000100010	decoded=[3.217060, 3.448081]
gen=7	fitness=-0.865215106582	chromosome=10101010010101111010010011011100	decoded=[3.308003, 2.879835]
gen=8	fitness=-0.865215106582	chromosome=10101010010101111010010011011100	decoded=[3.308003, 2.879835]
gen=9	fitness=-0.865215106582	chromosome=10101010010101111010010011011100	decoded=[3.308003, 2.879835]
gen=10	fitness=-0.974625710529	chromosome=10101000000000111010011010001100	decoded=[3.126116, 3.011673]
gen=11	fitness=-0.981035244273	chromosome=10101000100001001010011011001100	decoded=[3.165484, 3.031205]
gen=12	fitness=-0.981035244273	chromosome=10101000100001001010011011001100	decoded=[3.165484, 3.031205]
gen=13	fitness=-0.981035244273	chromosome=10101000100001001010011011001100	decoded=[3.165484, 3.031205]
gen=14	fitness=-0.981035244273	chromosome=10101000100001001010011011001100	decoded=[3.165484, 3.031205]
gen=15	fitness=-0.981035244273	chromosome=10101000100001001010011011001100	decoded=[3.165484, 3.031205]
gen=16	fitness=-0.981035244273	chromosome=10101000100001001010011011001100	decoded=[3.165484, 3.031205]
gen=17	fitness=-0.981035244273	chromosome=10101000100001001010011011001100	decoded=[3.165484, 3.031205]
gen=18	fitness=-0.981035244273	chromosome=10101000100001001010011011001100	decoded=[3.165484, 3.031205]
gen=19	fitness=-0.981035244273	chromosome=10101000100001001010011011001100	decoded=[3.165484, 3.031205]
gen=20	fitness=-0.981035244273	chromosome=10101000100001001010011011001100	decoded=[3.165484, 3.031205]
gen=21	fitness=-0.981035244273	chromosome=10101000100001001010011011001100	decoded=[3.165484, 3.031205]
gen=22	fitness=-0.981035244273	chromosome=10101000100001001010011011001100	decoded=[3.165484, 3.031205]
gen=23	fitness=-0.994948931494	chromosome=10101000111100111010100001001010	decoded=[3.199359, 3.147784]
gen=24	fitness=-0.994948931494	chromosome=10101000111100111010100001001010	decoded=[3.199359, 3.147784]
gen=25	fitness=-0.994948931494	chromosome=10101000111100111010100001001010	decoded=[3.199359, 3.147784]
gen=26	fitness=-0.994948931494	chromosome=10101000111100111010100001001010	decoded=[3.199359, 3.147784]
gen=27	fitness=-0.994948931494	chromosome=10101000111100111010100001001010	decoded=[3.199359, 3.147784]
gen=28	fitness=-0.994948931494	chromosome=10101000111100111010100001001010	decoded=[3.199359, 3.147784]
gen=29	fitness=-0.994948931494	chromosome=10101000111100111010100001001010	decoded=[3.199359, 3.147784]
gen=30	fitness=-0.994948931494	chromosome=10101000111100111010100001001010	decoded=[3.199359, 3.147784]
gen=31	fitness=-0.994948931494	chromosome=10101000111100111010100001001010	decoded=[3.199359, 3.147784]
gen=32	fitness=-0.999505340273	chromosome=10101000000101011010100000000100	decoded=[3.131609, 3.126421]
gen=33	fitness=-0.999956706353	chromosome=10101000010001001010100001000000	decoded=[3.145953, 3.144732]
gen=34	fitness=-0.999956706353	chromosome=10101000010001001010100001000000	decoded=[3.145953, 3.144732]
gen=35	fitness=-0.999956706353	chromosome=10101000010001001010100001000000	decoded=[3.145953, 3.144732]
gen=36	fitness=-0.999956706353	chromosome=10101000010001001010100001000000	decoded=[3.145953, 3.144732]
gen=37	fitness=-0.999956706353	chromosome=10101000010001001010100001000000	decoded=[3.145953, 3.144732]
gen=38	fitness=-0.999956706353	chromosome=10101000010001001010100001000000	decoded=[3.145953, 3.144732]
gen=39	fitness=-0.999956706353	chromosome=10101000010001001010100001000000	decoded=[3.145953, 3.144732]
gen=40	fitness=-0.999956706353	chromosome=10101000010001001010100001000000	decoded=[3.145953, 3.144732]
