seed=9
gen=0	fitness=-0.137569930013	chromosome=10100100010011101001101010100001	decoded=[2.836500, 2.080568]
gen=1	fitness=-0.447274070324	chromosome=10110000110010011010101110110100	decoded=[3.811551, 3.414511]
gen=2	fitness=-0.687684732991	chromosome=10101011000100001010110111100110	decoded=[3.364462, 3.586023]
gen=3	fitness=-0.811660205064	chromosome=10100100011011101010101100011100	decoded=[2.846265, 3.368124]
gen=4	fitness=-0.811660205064	chromosome=10100100011011101010101100011100	decoded=[2.846265, 3.368124]
gen=5	fitness=-0.811660205064	chromosome=10100100011011101010101100011100	decoded=[2.846265, 3.368124]
gen=6	fitness=-0.811660205064	chromosome=10100100011011101010101100011100	decoded=[2.846265, 3.368124]
gen=7	fitness=-0.811660205064	chromosome=10100100011011101010101100011100	decoded=[2.846265, 3.368124]
gen=8	fitness=-0.977392664349	chromosome=10101001000010101010100110001110	decoded=[3.206378, 3.246662]
gen=9	fitness=-0.977392664349	chromosome=10101001000010101010100110001110	decoded=[3.206378, 3.246662]
gen=10	fitness=-0.977392664349	chromosome=10101001000010101010100110001110	decoded=[3.206378, 3.246662]
gen=11	fitness=-0.977392664349	chromosome=10101001000010101010100110001110	decoded=[3.206378, 3.246662]
gen=12	fitness=-0.977392664349	chromosome=10101001000010101010100110001110	decoded=[3.206378, 3.246662]
gen=13	fitness=-0.977392664349	chromosome=10101001000010101010100110001110	decoded=[3.206378, 3.246662]
gen=14	fitness=-0.977392664349	chromosome=10101001000010101010100110001110	decoded=[3.206378, 3.246662]
gen=15	fitness=-0.977392664349	chromosome=10101001000010101010100110001110	decoded=[3.206378, 3.246662]
gen=16	fitness=-0.977392664349	chromosome=10101001000010101010100110001110	decoded=[3.206378, 3.246662]
gen=17	fitness=-0.977392664349	chromosome=10101001000010101010100110001110	decoded=[3.206378, 3.246662]
gen=18	fitness=-0.977392664349	chromosome=10101001000010101010100110001110	decoded=[3.206378, 3.246662]
gen=19	fitness=-0.977392664349	chromosome=10101001000010101010100110001110	decoded=[3.206378, 3.246662]
gen=20	fitness=-0.977392664349	chromosome=10101001000010101010100110001110	decoded=[3.206378, 3.246662]
gen=21	fitness=-0.987247932564	chromosome=10101001000010101010100100001110	decoded=[3.206378, 3.207599]
gen=22	fitness=-0.987247932564	chromosome=10101001000010101010100100001110	decoded=[3.206378, 3.207599]
gen=23	fitness=-0.987247932564	chromosome=10101001000010101010100100001110	decoded=[3.206378, 3.207599]
gen=24	fitness=-0.987247932564	chromosome=10101001000010101010100100001110	decoded=[3.206378, 3.207599]
gen=25	fitness=-0.987247932564	chromosome=10101001000010101010100100001110	decoded=[3.206378, 3.207599]
gen=26	fitness=-0.987247932564	chromosome=10101001000010101010100100001110	decoded=[3.206378, 3.207599]
gen=27	fitness=-0.987247932564	chromosome=10101001000010101010100100001110	decoded=[3.206378, 3.207599]
gen=28	fitness=-0.987247932564	chromosome=10101001000010101010100100001110	decoded=[3.206378, 3.207599]
gen=29	fitness=-0.996673062470	chromosome=10100111110111001010011110111000	decoded=[3.114214, 3.103227]
gen=30	fitness=-0.996673062470	chromosome=10100111110111001010011110111000	decoded=[3.114214, 3.103227]
gen=31	fitness=-0.996673062470	chromosome=10100111110111001010011110111000	decoded=[3.114214, 3.103227]
gen=32	fitness=-0.996673062470	chromosome=10100111110111001010011110111000	decoded=[3.114214, 3.103227]
gen=33	fitness=-0.996673062470	chromosome=10100111110111001010011110111000	decoded=[3.114214, 3.103227]
gen=34	fitness=-0.998459267308	chromosome=10101000000000001010100010010000	decoded=[3.125200, 3.169146]
gen=35	fitness=-0.998459267308	chromosome=10101000000000001010100010010000	decoded=[3.125200, 3.169146]
gen=36	fitness=-0.998459267308	chromosome=10101000000000001010100010010000	decoded=[3.125200, 3.169146]
gen=37	fitness=-0.998459267308	chromosome=10101000000000001010100010010000	decoded=[3.125200, 3.169146]
gen=38	fitness=-0.998619823383	chromosome=10101000001110111010100010011001	decoded=[3.143206, 3.171893]
gen=39	fitness=-0.998619823383	chromosome=10101000001110111010100010011001	decoded=[3.143206, 3.171893]
gen=40	fitness=-0.998619823383	chromosome=10101000001110111010100010011001	decoded=[3.143206, 3.171893]
