seed=6
gen=0	fitness=-0.074524657478	chromosome=10110100100001001001110101110000	decoded=[4.102998, 2.299992]
gen=1	fitness=-0.223789250959	chromosome=10011100101000101010001110010100	decoded=[2.237125, 2.779736]
gen=2	fitness=-0.223789250959	chromosome=10011100101000101010001110010100	decoded=[2.237125, 2.779736]
gen=3	fitness=-0.939192093700	chromosome=10101010110100111010100000111110	decoded=[3.345846, 3.144121]
gen=4	fitness=-0.939192093700	chromosome=10101010110100111010100000111110	decoded=[3.345846, 3.144121]
gen=5	fitness=-0.939192093700	chromosome=10101010110100111010100000111110	decoded=[3.345846, 3.144121]
gen=6	fitness=-0.939192093700	chromosome=10101010110100111010100000111110	decoded=[3.345846, 3.144121]
gen=7	fitness=-0.939192093700	chromosome=10101010110100111010100000111110	decoded=[3.345846, 3.144121]
gen=8	fitness=-0.939192093700	chromosome=10101010110100111010100000111110	decoded=[3.345846, 3.144121]
gen=9	fitness=-0.939192093700	chromosome=10101010110100111010100000111110	decoded=[3.345846, 3.144121]
gen=10	fitness=-0.950497993176	chromosome=10101001000110001010101001100100	decoded=[3.210651, 3.311971]
gen=11	fitness=-0.950497993176	chromosome=10101001000110001010101001100100	decoded=[3.210651, 3.311971]
gen=12	fitness=-0.950497993176	chromosome=10101001000110001010101001100100	decoded=[3.210651, 3.311971]
gen=13	fitness=-0.950497993176	chromosome=10101001000110001010101001100100	decoded=[3.210651, 3.311971]
gen=14	fitness=-0.950497993176	chromosome=10101001000110001010101001100100	decoded=[3.210651, 3.311971]
gen=15	fitness=-0.950497993176	chromosome=10101001000110001010101001100100	decoded=[3.210651, 3.311971]
gen=16	fitness=-0.996592364524	chromosome=10101000110100101010100000111000	decoded=[3.189288, 3.142290]
gen=17	fitness=-0.996592364524	chromosome=10101000110100101010100000111000	decoded=[3.189288, 3.142290]
gen=18	fitness=-0.996592364524	chromosome=10101000110100101010100000111000	decoded=[3.189288, 3.142290]
gen=19	fitness=-0.996592364524	chromosome=10101000110100101010100000111000	decoded=[3.189288, 3.142290]
gen=20	fitness=-0.996592364524	chromosome=10101000110100101010100000111000	decoded=[3.189288, 3.142290]
gen=21	fitness=-0.996592364524	chromosome=10101000110100101010100000111000	decoded=[3.189288, 3.142290]
gen=22	fitness=-0.996592364524	chromosome=10101000110100101010100000111000	decoded=[3.189288, 3.142290]
gen=23	fitness=-0.996592364524	chromosome=10101000110100101010100000111000	decoded=[3.189288, 3.142290]
gen=24	fitness=-0.996592364524	chromosome=10101000110100101010100000111000	decoded=[3.189288, 3.142290]
gen=25	fitness=-0.996592364524	chromosome=10101000110100101010100000111000	decoded=[3.189288, 3.142290]
gen=26	fitness=-0.996592364524	chromosome=10101000110100101010100000111000	decoded=[3.189288, 3.142290]
gen=27	fitness=-0.999769364832	chromosome=10101000010110101010100001001000	decoded=[3.152667, 3.147173]
gen=28	fitness=-0.999769364832	chromosome=10101000010110101010100001001000	decoded=[3.152667, 3.147173]
gen=29	fitness=-0.999769364832	chromosome=10101000010110101010100001001000	decoded=[3.152667, 3.147173]
gen=30	fitness=-0.999769364832	chromosome=10101000010110101010100001001000	decoded=[3.152667, 3.147173]
gen=31	fitness=-0.999769364832	chromosome=10101000010110101010100001001000	decoded=[3.152667, 3.147173]
gen=32	fitness=-0.999769364832	chromosome=10101000010110101010100001001000	decoded=[3.152667, 3.147173]
gen=33	fitness=-0.999769364832	chromosome=10101000010110101010100001001000	decoded=[3.152667, 3.147173]
gen=34	fitness=-0.999769364832	chromosome=10101000010110101010100001001000	decoded=[3.152667, 3.147173]
gen=35	fitness=-0.999769364832	chromosome=10101000010110101010100001001000	decoded=[3.152667, 3.147173]
gen=36	fitness=-0.999769364832	chromosome=10101000010110101010100001001000	decoded=[3.152667, 3.147173]
gen=37	fitness=-0.999769364832	chromosome=10101000010110101010100001001000	decoded=[3.152667, 3.147173]
gen=38	fitness=-0.999769364832	chromosome=10101000010110101010100001001000	decoded=[3.152667, 3.147173]
gen=39	fitness=-0.999769364832	chromosome=10101000010110101010100001001000	decoded=[3.152667, 3.147173]
gen=40	fitness=-0.999828229311	chromosome=10101000010100111010100001001001	decoded=[3.150530, 3.147478]
