seed=4
gen=0	fitness=-0.000000003268	chromosome=11011000111100111001000111100010	decoded=[6.949416, 1.397269]
gen=1	fitness=-0.329467396212	chromosome=10101101111101001001111011111101	decoded=[3.590295, 2.421149]
gen=2	fitness=-0.329467396212	chromosome=10101101111101001001111011111101	decoded=[3.590295, 2.421149]
gen=3	fitness=-0.402797897596	chromosome=10101000010100101011000111111101	decoded=[3.150225, 3.905547]
gen=4	fitness=-0.528660211248	chromosome=10100000110000101010010010011111	decoded=[2.559396, 2.861219]
gen=5	fitness=-0.528660211248	chromosome=10100000110000101010010010011111	decoded=[2.559396, 2.861219]
gen=6	fitness=-0.537181033194	chromosome=10100000110000101010010011011111	decoded=[2.559396, 2.880751]
gen=7	fitness=-0.723547904082	chromosome=10101101011100001010010101101110	decoded=[3.550011, 2.924392]
gen=8	fitness=-0.723547904082	chromosome=10101101011100001010010101101110	decoded=[3.550011, 2.924392]
gen=9	fitness=-0.864520535089	chromosome=10100100111011101010010111110100	decoded=[2.885328, 2.965286]
gen=10	fitness=-0.949080041115	chromosome=10101000010111101010010111010100	decoded=[3.153887, 2.955520]
gen=11	fitness=-0.949080041115	chromosome=10101000010111101010010111010100	decoded=[3.153887, 2.955520]
gen=12	fitness=-0.980360772531	chromosome=10100111111100111010011011000011	decoded=[3.121233, 3.028458]
gen=13	fitness=-0.984542543052	chromosome=10101001011101111010011111011011	decoded=[3.239643, 3.113909]
gen=14	fitness=-0.984542543052	chromosome=10101001011101111010011111011011	decoded=[3.239643, 3.113909]
gen=15	fitness=-0.984542543052	chromosome=10101001011101111010011111011011	decoded=[3.239643, 3.113909]
gen=16	fitness=-0.993629029149	chromosome=10101000110111111010011110110011	decoded=[3.193256, 3.101701]
gen=17	fitness=-0.993629029149	chromosome=10101000110111111010011110110011	decoded=[3.193256, 3.101701]
gen=18	fitness=-0.993629029149	chromosome=10101000110111111010011110110011	decoded=[3.193256, 3.101701]
gen=19	fitness=-0.993629029149	chromosome=10101000110111111010011110110011	decoded=[3.193256, 3.101701]
gen=20	fitness=-0.995027678872	chromosome=10101000011110111010011110000110	decoded=[3.162737, 3.087968]
gen=21	fitness=-0.997639550090	chromosome=10101000011100111010011111000011	decoded=[3.160296, 3.106584]
gen=22	fitness=-0.997639550090	chromosome=10101000011100111010011111000011	decoded=[3.160296, 3.106584]
gen=23	fitness=-0.997639550090	chromosome=10101000011100111010011111000011	decoded=[3.160296, 3.106584]
gen=24	fitness=-0.997639550090	chromosome=10101000011100111010011111000011	decoded=[3.160296, 3.106584]
gen=25	fitness=-0.997639550090	chromosome=10101000011100111010011111000011	decoded=[3.160296, 3.106584]
